Name,X,Y,Z,DeltaX,DeltaY,DeltaZ,Alpha,Kuant
R0,0.08604269,0.2383037,1.614224,0.05542989,-0.01941954,-0.007845759,,
R0,0.09540248,0.2380495,1.614471,0.009359792,-0.000254169,0.000247121,358.4444912,8
R0,0.1068266,0.2370759,1.612224,0.01142409,-0.000973657,-0.002246261,355.1285454,8
R0,0.1842344,0.2320992,1.610206,0.07740783,-0.00497669,-0.002018929,356.3214131,8
R0,0.195264,0.2316968,1.611135,0.01102959,-0.000402376,0.000929952,357.91069,8
R0,0.2067109,0.2316415,1.61208,0.01144691,-5.53E-05,0.000944376,359.7233645,8
R0,0.2187971,0.2316401,1.612294,0.01208623,-1.39E-06,0.000213862,359.9934305,8
R0,0.2303779,0.231442,1.611552,0.01158077,-0.000198081,-0.000741243,359.0200907,8
R0,0.2405847,0.2319763,1.612343,0.01020683,0.000534236,0.000790358,2.996188276,1
R0,0.2510291,0.2328234,1.61193,0.01044436,0.000847161,-0.000412345,4.637211777,1
R0,0.3487933,0.2307063,1.618261,0.09776422,-0.002117142,0.006330013,358.7594199,8
R0,0.3532852,0.2314008,1.618541,0.004491925,0.000694543,0.000280857,8.789490813,1
R0,0.3574122,0.2320829,1.620797,0.004126936,0.000682056,0.002255201,9.384407639,1
R0,0.364626,0.2322399,1.622187,0.007213891,0.000156969,0.001390338,1.24651603,1
R0,0.3732765,0.2348291,1.622386,0.008650452,0.002589181,0.000198841,16.66305394,1
R0,0.3786023,0.2344983,1.622949,0.005325794,-0.000330776,0.000563026,356.4460217,8
R0,0.3865457,0.2346652,1.625137,0.007943392,0.000166893,0.002188206,1.203624078,1
R0,0.3924518,0.2338362,1.624911,0.005906135,-0.000828967,-0.000225782,352.0103377,8
R0,0.4253299,0.2313226,1.625518,0.0328781,-0.002513573,0.000606775,355.6281683,8
R0,0.42924,0.2304946,1.626681,0.003910124,-0.000827983,0.001162767,348.0440224,8
R0,0.4308753,0.2291885,1.631058,0.001635283,-0.001306146,0.004377484,321.3846653,8
R0,0.4316679,0.2300609,1.631914,0.000792533,0.000872448,0.000855684,47.7479439,2
R0,0.4304945,0.230465,1.632502,-0.001173347,0.000404045,0.000587821,160.9987241,4
R0,0.4282763,0.2302683,1.63155,-0.002218246,-0.00019671,-0.000951767,185.0676342,5
R0,0.4245548,0.2305416,1.631505,-0.003721446,0.000273302,-4.49E-05,175.7997506,4
R0,0.4203357,0.230698,1.631099,-0.004219145,0.000156403,-0.000405908,177.8770325,4
R0,0.2686661,0.2442273,1.619738,-0.1516696,0.01352933,-0.01136136,174.9025565,4
R0,0.2532741,0.242343,1.617985,-0.01539195,-0.001884341,-0.001752734,186.979636,5
R0,0.241851,0.2435804,1.618375,-0.01142314,0.001237392,0.000390172,173.8176391,4
R0,0.2200029,0.2450619,1.618813,-0.02184805,0.001481548,0.000437975,176.120629,4
R0,0.2077773,0.2452736,1.619195,-0.01222566,0.000211701,0.000381589,179.0079595,5
R0,0.1883789,0.2476581,1.618759,-0.01939838,0.002384514,-0.000436187,172.9921658,4
R0,0.1333437,0.2494485,1.62287,-0.05503519,0.001790389,0.004111409,178.1367273,4
R0,0.1259731,0.2487206,1.621904,-0.007370591,-0.000727966,-0.000965953,185.6406017,5
R0,0.06520275,0.2657694,1.628082,-0.06077036,0.01704881,0.006177545,164.3288109,4
R0,0.05958233,0.2653259,1.627512,-0.00562042,-0.000443488,-0.000569701,184.5116688,5
R0,0.05432849,0.2657199,1.627619,-0.005253837,0.000393987,0.000106931,175.7114006,4
R0,0.04720443,0.2668152,1.62759,-0.007124059,0.001095295,-2.85E-05,171.2594481,4
R0,0.04018836,0.268993,1.627727,-0.007016074,0.002177894,0.000136852,162.7548779,4
R0,0.03190528,0.2705103,1.628411,-0.008283079,0.001517236,0.000683546,169.620033,4
R1,0.2238487,0.339567,1.429457,0.009471491,-0.001131415,-0.001099706,353.1880232,8
R1,0.2709398,0.3449255,1.423751,0.04709102,0.005358458,-0.005706906,6.491729003,1
R1,0.4117149,0.3342362,1.425819,0.1407751,-0.01068929,0.0020684,355.6577676,8
R1,0.4136775,0.3353277,1.425392,0.001962632,0.00109151,-0.00042665,29.08045025,1
R1,0.4860833,0.3439278,1.422499,0.07240584,0.008600146,-0.002893567,6.773683518,1
R1,0.4870734,0.3408731,1.422491,0.000990063,-0.003054768,-7.75E-06,287.9577248,7
R1,0.4881782,0.340444,1.421637,0.001104802,-0.000429064,-0.000853777,338.775682,8
R1,0.4915767,0.3398477,1.421113,0.003398508,-0.000596315,-0.000524163,350.0479794,8
R1,0.4950483,0.3371597,1.419984,0.003471553,-0.002687961,-0.001128912,322.2500261,8
R1,0.4986366,0.3368253,1.418078,0.003588319,-0.000334472,-0.00190568,354.6747788,8
R1,0.5014994,0.3343171,1.417326,0.002862781,-0.002508163,-0.000752688,318.7774863,8
R1,0.5045373,0.3333593,1.416425,0.00303793,-0.000957757,-0.000900269,342.5016889,8
R1,0.5071172,0.3313432,1.41572,0.002579927,-0.002016097,-0.000705361,321.9939724,8
R1,0.5097496,0.3310588,1.414443,0.00263238,-0.000284433,-0.001277328,353.8330138,8
R1,0.5137417,0.3303507,1.41266,0.003992081,-0.000708103,-0.001783013,349.941665,8
R1,0.5169855,0.3305285,1.412082,0.003243804,0.000177771,-0.000578046,3.136855243,1
R1,0.5138842,0.3314644,1.408924,-0.00310123,0.000935942,-0.003158092,163.2063435,4
R1,0.4634011,0.3285089,1.404936,-0.05048311,-0.002955467,-0.003987908,183.3504815,5
R1,0.4447286,0.3279733,1.406704,-0.01867259,-0.000535607,0.00176847,181.64303,5
R1,0.4286903,0.3297314,1.409216,-0.01603824,0.001758099,0.002511859,173.7442599,4
R1,0.4253214,0.332279,1.408908,-0.003368914,0.002547532,-0.000307918,142.9038696,4
R1,0.4318675,0.3405356,1.406696,0.00654614,0.008256614,-0.002211928,51.59135607,2
R1,0.4253492,0.3414094,1.408054,-0.006518304,0.000873804,0.001357794,172.3647959,4
R1,0.4170058,0.3388465,1.409347,-0.008343458,-0.002562881,0.001292825,197.0755189,5
R1,0.3526687,0.3473281,1.416894,-0.06433707,0.008481592,0.007547021,172.4899718,4
R1,0.2825466,0.3455155,1.417378,-0.07012215,-0.001812607,0.000484347,181.4807248,5
R1,0.2714236,0.3432228,1.418064,-0.01112291,-0.002292693,0.000686169,191.6468875,5
R1,0.2600395,0.341793,1.417191,-0.01138416,-0.001429766,-0.000873327,187.1584438,5
R1,0.2474034,0.3409646,1.417746,-0.01263605,-0.000828415,0.0005548,183.7509243,5
R1,0.23486,0.3380072,1.416969,-0.01254345,-0.002957374,-0.000777245,193.2663736,5
R1,0.2210417,0.3349873,1.417547,-0.01381829,-0.003019929,0.000578761,192.3279203,5
R1,0.2071274,0.3359897,1.419051,-0.01391427,0.001002371,0.001503229,175.8795836,4
R1,0.138821,0.3356443,1.422278,-0.0683064,-0.000345379,0.003227711,180.2897034,5
R1,0.08848292,0.3395989,1.424966,-0.05033808,0.003954589,0.002687573,175.508036,4
R1,0.08329524,0.3421026,1.424265,-0.005187683,0.002503693,-0.000700593,154.2369936,4
R1,0.07197832,0.3479883,1.426447,-0.01131693,0.00588572,0.002181768,152.5219164,4
R1,0.06639117,0.3470614,1.4273,-0.005587146,-0.000926882,0.0008533,189.4193226,5
R1,0.03926466,0.3743906,1.42919,-0.02712651,0.02732918,0.001889586,134.7867609,4
R1,0.03345766,0.3587994,1.436241,-0.005806997,-0.0155912,0.007051229,249.5719774,6
R1,0.01657763,0.3527258,1.441046,-0.01688003,-0.006073564,0.004805326,199.7891196,5
R2,0.3202375,0.2917342,1.418972,0.0085935,0.000390858,0.001027346,2.60418477,1
R2,0.417443,0.2870297,1.429173,0.09720552,-0.004704475,0.01020062,357.2292067,8
R2,0.432794,0.2882809,1.431338,0.01535106,0.001251191,0.002164483,4.659603316,1
R2,0.4386482,0.2877761,1.433021,0.00585413,-0.000504881,0.001682997,355.070804,8
R2,0.4456223,0.2876835,1.434292,0.006974101,-9.26E-05,0.001271009,359.2395679,8
R2,0.4547262,0.2897406,1.436706,0.009103894,0.002057135,0.002414823,12.7328407,1
R2,0.5037217,0.2770635,1.446207,0.04899555,-0.0126771,0.009500384,345.4934354,8
R2,0.496702,0.2734343,1.446025,-0.007019728,-0.003629208,-0.000181913,207.3390193,5
R2,0.4946681,0.2736934,1.444547,-0.002033859,0.000259042,-0.001477599,172.7416209,4
R2,0.4925767,0.2747287,1.44256,-0.002091378,0.001035303,-0.001986861,153.6630301,4
R2,0.4891799,0.2761834,1.44048,-0.003396869,0.001454741,-0.00208056,156.8165161,4
R2,0.4863049,0.2763121,1.43788,-0.002875,0.000128657,-0.002600074,177.4377164,4
R2,0.4841942,0.2777927,1.435172,-0.00211072,0.001480609,-0.002707481,144.9514513,4
R2,0.484626,0.274003,1.433208,0.000431806,-0.003789693,-0.001964331,276.5003705,7
R2,0.478771,0.2714545,1.432382,-0.005854934,-0.002548486,-0.000825524,203.5221203,5
R2,0.471837,0.2696411,1.431731,-0.006933987,-0.001813412,-0.00065124,194.6560373,5
R2,0.4639191,0.2688602,1.430384,-0.007917911,-0.000780881,-0.001347423,185.6324127,5
R2,0.4560149,0.2679344,1.429584,-0.007904232,-0.00092575,-0.000799537,186.6800908,5
R2,0.4482054,0.2697242,1.429282,-0.00780952,0.001789719,-0.000302553,167.0923311,4
R2,0.394288,0.2745865,1.429334,-0.05391735,0.004862368,5.21E-05,174.8468984,4
R2,0.3782852,0.2720086,1.429042,-0.01600286,-0.002577901,-0.000291824,189.1511611,5
R2,0.3671537,0.2722165,1.428667,-0.01113144,0.000207901,-0.000375032,178.9300158,4
R2,0.3531714,0.2731697,1.427793,-0.0139823,0.000953168,-0.000874043,176.1002035,4
R2,0.3412053,0.274102,1.427734,-0.01196614,0.000932306,-5.85E-05,175.5449702,4
R2,0.2544382,0.2842973,1.427097,-0.08676714,0.01019526,-0.000637293,173.2983953,4
R2,0.2404541,0.283955,1.427042,-0.01398407,-0.00034228,-5.54E-05,181.4021145,5
R2,0.2292414,0.2857674,1.426715,-0.01121274,0.001812428,-0.000326753,170.8181235,4
R2,0.2180355,0.287104,1.427452,-0.01120587,0.001336604,0.000736952,173.1980596,4
R2,0.2073805,0.2897433,1.428351,-0.01065496,0.002639294,0.000898838,166.0875459,4
R2,0.1959491,0.2922005,1.429149,-0.01143143,0.002457172,0.000798583,167.8689246,4
R2,0.1856977,0.2918126,1.429555,-0.0102514,-0.000387907,0.000405908,182.167005,5
R2,0.1745678,0.2941142,1.430908,-0.01112992,0.002301633,0.001353145,168.316106,4
R2,0.1646154,0.2953816,1.432666,-0.009952396,0.001267403,0.001757383,172.7426448,4
R2,0.1537962,0.2964767,1.433578,-0.01081917,0.001095086,0.00091207,174.2203658,4
R2,0.1431826,0.2973148,1.434665,-0.01061361,0.000838131,0.00108695,175.4848628,4
R2,0.1334209,0.2974749,1.434801,-0.009761766,0.000160098,0.000135779,179.0604033,5
R2,0.123577,0.2989907,1.436684,-0.009843849,0.001515746,0.001883984,171.2464025,4
R2,0.05335733,0.3115583,1.443467,-0.07021968,0.01256761,0.006782293,169.8528877,4
R2,0.002246029,0.3179453,1.456288,-0.0511113,0.006386995,0.01282156,172.8771001,4
R2,-0.000250007,0.3191141,1.457995,-0.002496036,0.001168847,0.001706481,154.9071856,4
R3,0.2076737,0.3110065,1.456851,0.02000044,-0.009799868,-0.000857711,333.895949,8
R3,0.2183646,0.3075216,1.455835,0.01069087,-0.003484875,-0.001016498,341.9457205,8
R3,0.2291319,0.3064357,1.454636,0.01076734,-0.001085848,-0.001198649,354.2413931,8
R3,0.3296518,0.2818016,1.454385,0.1005199,-0.02463418,-0.000251293,346.2300405,8
R3,0.3619225,0.2929658,1.452181,0.03227064,0.01116428,-0.002203703,19.08346128,1
R3,0.3839122,0.2894036,1.452723,0.02198976,-0.003562272,0.000541806,350.7982023,8
R3,0.392696,0.2879477,1.451759,0.008783728,-0.001455814,-0.000963211,350.5893515,8
R3,0.4034794,0.2876933,1.452604,0.01078343,-0.000254452,0.000844121,358.6482668,8
R3,0.4079447,0.2852772,1.453221,0.004465282,-0.002416134,0.000617504,331.5824785,8
R3,0.417038,0.2827028,1.452702,0.009093314,-0.002574354,-0.000518799,344.1929676,8
R3,0.4214868,0.2800055,1.453352,0.004448801,-0.002697319,0.00064981,328.7714636,8
R3,0.4444444,0.2823935,1.454868,0.02295759,0.002387971,0.001515627,5.938358374,1
R3,0.4791576,0.2545773,1.454045,0.03471324,-0.02781618,-0.000822663,321.29434,8
R3,0.4801498,0.2526552,1.45384,0.000992209,-0.001922101,-0.000205159,297.3032646,7
R3,0.4805647,0.2508661,1.453235,0.000414819,-0.001789033,-0.000604749,283.0543588,7
R3,0.4829217,0.2513995,1.453097,0.002357095,0.000533313,-0.000138283,12.74900231,1
R3,0.4830069,0.2678788,1.432206,8.52E-05,0.01647931,-0.02089131,89.70377662,3
R3,0.4677087,0.2617287,1.435136,-0.01529822,-0.006150037,0.002930403,201.900619,5
R3,0.4630294,0.2638631,1.43478,-0.004679263,0.002134383,-0.000356197,155.4805364,4
R3,0.4561994,0.2658896,1.434848,-0.006830066,0.002026439,6.81E-05,163.4746978,4
R3,0.4491732,0.26865,1.435392,-0.007026196,0.00276041,0.00054431,158.551425,4
R3,0.3749973,0.2987988,1.439347,-0.07417583,0.03014883,0.003955126,157.8806741,4
R3,0.3670008,0.3028991,1.43984,-0.007996589,0.004100323,0.000492334,152.8531088,4
R3,0.3577726,0.3056552,1.439077,-0.00922814,0.002756059,-0.000762582,163.3713173,4
R3,0.3476801,0.3061711,1.439378,-0.01009253,0.000515938,0.000301242,177.0735426,4
R3,0.3399474,0.3093492,1.439131,-0.00773266,0.00317812,-0.000247121,157.6573583,4
R3,0.3309786,0.3100523,1.439421,-0.00896886,0.000703067,0.000290155,175.5177623,4
R3,0.321782,0.3090375,1.438748,-0.009196579,-0.001014829,-0.000673533,186.2970285,5
R3,0.314202,0.3113222,1.438675,-0.007580042,0.002284706,-7.27E-05,163.2266296,4
R3,0.3050672,0.3103118,1.437826,-0.009134769,-0.001010418,-0.000849485,186.3119601,5
R3,0.2946917,0.3033483,1.4386,-0.01037544,-0.006963432,0.000774622,213.8673674,5
R3,0.2452446,0.3017066,1.433928,-0.04944716,-0.00164175,-0.00467217,181.9016421,5
R3,0.2366151,0.2999537,1.433068,-0.008629441,-0.001752883,-0.000860095,191.4821686,5
R3,0.2285076,0.3005853,1.432269,-0.008107513,0.00063163,-0.00079906,175.54527,4
R3,0.2198778,0.2997574,1.429553,-0.008629829,-0.000827909,-0.002716303,185.479942,5
R3,0.2118727,0.29961,1.429151,-0.008005068,-0.000147373,-0.000401855,181.054694,5
R3,0.2027562,0.3014389,1.42766,-0.00911656,0.001828879,-0.001490474,168.6564297,4
R3,0.1487664,0.2886194,1.427008,-0.0539898,-0.01281956,-0.000651836,193.3571871,5
R3,0.1280277,0.2824448,1.426729,-0.02073868,-0.006174564,-0.000279665,196.5799408,5
R3,0.1155694,0.2813051,1.428914,-0.01245832,-0.001139671,0.002185106,185.2267963,5
R4,0.1880906,0.2699325,1.448572,0.01430652,-0.004139036,-0.002093077,343.8642532,8
R4,0.2014908,0.2673855,1.447145,0.01340029,-0.002547026,-0.001426816,349.2380263,8
R4,0.2145251,0.2664219,1.445636,0.01303425,-0.000963539,-0.00150907,355.7721788,8
R4,0.2276318,0.2638426,1.445479,0.01310667,-0.002579361,-0.000156522,348.8666035,8
R4,0.2395535,0.2627718,1.444781,0.01192172,-0.001070738,-0.000697851,354.867804,8
R4,0.4078954,0.2502094,1.442043,0.1683419,-0.01256239,-0.002738476,355.7322551,8
R4,0.4224901,0.2639381,1.442009,0.0145947,0.01372865,-3.40E-05,43.24859864,1
R4,0.4309229,0.2654323,1.442127,0.008432806,0.001494229,0.000118017,10.0480817,1
R4,0.4383534,0.2683367,1.441607,0.007430524,0.002904356,-0.000520229,21.34895097,1
R4,0.4454475,0.2696436,1.4415,0.007094055,0.001306981,-0.000106335,10.43889231,1
R4,0.4532462,0.2713245,1.441684,0.007798761,0.001680881,0.000184178,12.16300067,1
R4,0.4706238,0.2469315,1.446912,0.01737756,-0.02439302,0.005227089,305.4660289,7
R4,0.4700349,0.2432269,1.449103,-0.000588894,-0.003704563,0.002191782,260.9675828,6
R4,0.4698391,0.2427845,1.447777,-0.000195801,-0.00044243,-0.001326442,246.1278107,6
R4,0.4693801,0.2434097,1.447093,-0.000458986,0.000625193,-0.000684261,126.284259,3
R4,0.4689786,0.2444302,1.446624,-0.000401557,0.001020461,-0.000468612,111.4798855,3
R4,0.4676499,0.2446467,1.445284,-0.001328647,0.000216499,-0.001340389,170.745165,4
R4,0.4675207,0.2456981,1.44399,-0.000129223,0.001051471,-0.001293421,97.00636093,3
R4,0.4666954,0.2476165,1.44207,-0.000825256,0.001918361,-0.001919866,113.2768004,3
R4,0.4737383,0.2665877,1.420521,0.007042915,0.01897125,-0.02154887,69.63298515,2
R4,0.4223295,0.2602627,1.418776,-0.05140883,-0.006325036,-0.00174582,187.0140813,5
R4,0.416143,0.2561721,1.416455,-0.006186515,-0.004090607,-0.002321124,213.4732143,5
R4,0.4089223,0.2498716,1.417021,-0.007220745,-0.006300539,0.000566125,221.1066755,5
R4,0.3948145,0.2512382,1.414921,-0.01410779,0.001366645,-0.002099752,174.4669274,4
R4,0.3857889,0.2469626,1.414635,-0.009025604,-0.004275605,-0.000285745,205.3478293,5
R4,0.3735001,0.2453166,1.413766,-0.01228875,-0.001646012,-0.000869513,187.6290532,5
R4,0.3635958,0.2464257,1.413702,-0.009904325,0.001109153,-6.33E-05,173.6102554,4
R4,0.3387142,0.2471913,1.411679,-0.0248816,0.000765592,-0.002022982,178.2375993,4
R4,0.2194981,0.263142,1.415988,-0.1192161,0.01595072,0.004308581,172.3792734,4
R4,0.2052825,0.2608137,1.419294,-0.01421553,-0.002328336,0.003305912,189.3017808,5
R4,0.1963671,0.2611519,1.418837,-0.008915395,0.000338197,-0.000456452,177.8275822,4
R4,0.1851035,0.2630875,1.41899,-0.01126364,0.001935542,0.00015223,170.2495323,4
R4,0.1698368,0.2621636,1.419904,-0.01526669,-0.000923812,0.000913978,183.4628389,5
R4,0.1575278,0.2621332,1.41907,-0.012309,-3.04E-05,-0.000833988,180.1416364,5
R4,0.1464407,0.2646089,1.417961,-0.0110871,0.002475679,-0.00110817,167.4127063,4
R4,0.1334654,0.2644039,1.419052,-0.01297528,-0.000204951,0.001090765,180.9049383,5
R4,0.06418035,0.2649338,1.42129,-0.06928507,0.000529826,0.002237916,179.5618654,5
R4,-0.002214392,0.268694,1.436656,-0.06639475,0.003760189,0.01536632,176.7585831,4
R4,-0.00768027,0.270574,1.43836,-0.005465878,0.00188002,0.001703858,161.0190516,4
